Logger:         	MadelineProto
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
APIWrapper, 5627920568:     	Saved session!
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
APIWrapper, 5627920568:     	Saved session!
PingLoop, 5627920568:       	Ping DC 2.0
PingLoop, 5627920568:       	Ping DC 1.0
PingLoop, 5627920568:       	Ping DC 3.0
PingLoop, 5627920568:       	Ping DC 4.0
PingLoop, 5627920568:       	Ping DC 5.0
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 1, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 5, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 2 incoming messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updates) received via the socket...
SeqLoop, 5627920568:        	Was fed updates of type updates...
FeedLoop, 5627920568:       	Resumed update feed loop generic
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
APIWrapper, 5627920568:     	Saved session!
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 1 left
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
APIWrapper, 5627920568:     	Saved session!
PingLoop, 5627920568:       	Ping DC 2.0
PingLoop, 5627920568:       	Ping DC 1.0
PingLoop, 5627920568:       	Ping DC 3.0
PingLoop, 5627920568:       	Ping DC 4.0
PingLoop, 5627920568:       	Ping DC 5.0
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session, 5627920568:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 3 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 1, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
APIWrapper, 5627920568:     	Saved session!
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, 5627920568:  	Parsing updates (updateShort) received via the socket...
FeedLoop, 5627920568:       	Resumed update feed loop generic
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
APIWrapper, 5627920568:     	Saved session!
PingLoop, 5627920568:       	Ping DC 2.0
PingLoop, 5627920568:       	Ping DC 1.0
PingLoop, 5627920568:       	Ping DC 3.0
PingLoop, 5627920568:       	Ping DC 4.0
PingLoop, 5627920568:       	Ping DC 5.0
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 1, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
APIWrapper, 5627920568:     	Saved session!
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, 5627920568:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, 5627920568:        	Garbage collected 1 outgoing messages in DC 2, 0 left
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/safe.php.lock...
SessionPaths, 5627920568:   	Waiting for exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
SessionPaths, 5627920568:   	Got exclusive lock of /var/www/html/telegram.session/lightState.php.lock...
APIWrapper, 5627920568:     	Saved session!
PingLoop, 5627920568:       	Ping DC 2.0
PingLoop, 5627920568:       	Ping DC 1.0
